File Name,Last Modified Time,File Size (Bytes),File Type Value,Permissions Value
11班-23级德育成绩单活动记录1030-班长 (1).xlsx,5785.901389,12547,1,1
11班.xlsx,4601.808889,12007,1,1
2022秋集合论与图论.pdf,1673.641667,111289,1,3
2023311B21-唐梓涵-国家奖学金答辩ppt.pptx,4.209444444,8266328,1,3
2023311B26-陈韬之-华萌奖学金答辩ppt.pptx,4.231111111,10387759,1,3
2023_微积分B_先修_回忆版试卷_参考答案.pdf,6450.196944,208866,1,1
2023_微积分先修_试题.pdf,11424.70333,441354,1,1
2023_微积分先修_试题解答.pdf,11444.04306,818973,1,3
2023年秋数理逻辑期末考试回忆版试题.pdf,1673.643889,1164076,1,3
2025_MCM_Problem_C.pdf,774.4858333,5119355,1,3
21计科-集合论与图论期末-v0.8.pdf,1673.638056,328284,1,1
23级基础学部本科生2023-2024年度学业奖学金公示.xlsx,3832.278889,39507,1,1
app.py,18.04416667,17252,3,1
backup.html,18.0875,4922,3,1
backup_now.html,18.0875,2773,3,1
base.html,70.67416667,5491,3,1
base_style.html,70.67416667,3897,3,1
Client_Mac.py,47.72694444,7609,3,1
Client_Win.py,70.67416667,4196,3,1
correlation analysis.py,698.7808333,1907,3,1
Data processing.py,742.3152778,10735,3,3
Data processing2.py,741.8238889,2266,3,3
data_2028.py,743.5044444,2109,3,3
edit.html,70.67416667,3744,3,1
flow chart.jpg,684.1986111,938130,1,3
login.html,70.67416667,4993,3,1
MAE and RMSE.png,699.185,86157,1,1
medal variation.py,692.8341667,3123,3,1
monitor.html,18.38666667,12769,3,1
Our Work.jpg,700.1511111,1932179,1,3
pie-simple.png,683.7508333,137347,1,1
QQ图片20240505150924.gif,7103.516389,121622,1,1
QQ图片20240505150936.gif,7103.513056,67083,1,1
QQ图片20240622203752.jpg,5946.040833,47708,1,1
QQ图片20240627201539.jpg,5826.411389,27265,1,1
summerOly_athletes.csv,1651.721389,23809049,1,3
入团申请书 陈韬之.docx,10241.63083,17241,1,1
入团申请书稿纸电子版（手写）(1).xls,10242.14556,22528,1,1
公示版-11班-2023-2024年度哈工大（深圳）基础学部2023级本科生综合测评表11班.xlsx,3863.454444,18305,1,1
华萌奖学金申请审批表.doc,1941.7025,48640,1,1
华萌奖学金答辩演讲稿.docx,1513.841111,18506,1,1
名帅效应的影响.png,690.5038889,1437548,1,3
团课心得.docx,6623.095278,18015,1,1
微信图片_20230903150413.jpg,12983.60389,11511,1,1
微信图片_20231220095010.jpg,10396.93028,52823,1,1
微信图片_20231225205230.jpg,10265.7975,12411,1,1
微信图片_20231225205254.jpg,10265.79111,13165,1,1
微信图片_20240122224337.jpg,9591.947778,89997,1,1
微信图片_20240523222330.jpg,6664.282778,53199,1,1
微信图片_20240627151659.jpg,5831.388889,289003,1,3
微信图片_20240928185226.png,3595.794167,61181,1,1
微信图片_20250127145917.png,695.685,233807,1,3
微积分B2023年期末试题（哈工大）.pdf,5658.550278,483725,1,3
微积分春季期末试题集答案.pdf,5981.129722,3317019,1,3
总的思路（部分已作废）.docx,750.0147222,252190,1,1
新建 Microsoft PowerPoint 演示文稿.pptx,690.5019444,656254,1,3
电子签名.jpg,1849.415556,18522,1,1
祖国或以梦为马朗诵稿.docx,6744.621944,15684,1,1
计算机与电子通信11班 大学物理作业成绩.xls,5972.332222,26112,1,1
进步退步.py,692.5622222,3144,3,1
